datesin,datecos,storage1,storage2,rainfall,rainfall1,rfquart,rfhalf,swc_pc_s,high_prec_freq,low_prec_dur,Inception_use_WR,run_mm_syr,ele_mt_smx,Inception_use_P,Inception_use_Irr,Inception_use_FC,Capacity,Catchment_area
-0.4999999999999997,-0.8660254037844388,99.0,94.0,107.5295375,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,83.39538613,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,104.3338563,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,210.0244301,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,88.18804355,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,73.05067592,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,85.00857807,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,77.40792982,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,50.33803322,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,125.4827609,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,147.3498941,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,205.891808,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,164.3889709,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,158.7532952,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,143.2034291,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,142.7650631,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,84.33161046,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,174.6586597,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,62.80719309,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,121.2256608,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,88.45463564,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,94.88695183,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,80.91606444,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,172.3779015,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,81.97463328,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,151.4829321,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,154.1013713,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,56.49112445,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,65.65361974,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,110.1844702,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,84.67907755,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,88.83346173,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,58.77895465,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,143.9166893,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,80.83903666,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,34.29284615,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,58.26909788,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,113.7825859,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
-0.4999999999999997,-0.8660254037844388,99.0,94.0,76.78898872,302.1606526,202.1853311,162.6481385,89.99158947,0.029442922,3.265009092,1,998.4642149,643.0607544,0,0,0,55146,74.01
